minute_ts,avg_priority_fee_gwei,avg_gas_utilization,total_tx_count,block_count,roll_fee_10m,roll_fee_30m
2025-12-03 16:26:00-08,0.6694647584794804,0.7205296916666667,735,2,0.6694647584794804,0.6694647584794804
2025-12-03 16:27:00-08,0.7520557930055882,0.37658579625980737,896,5,0.7107602757425343,0.7107602757425343
2025-12-03 16:28:00-08,0.8846712340781885,0.6678533866666666,1015,5,0.7687305951877524,0.7687305951877524
2025-12-03 16:29:00-08,0.5814607779678796,0.5919513627091973,1571,5,0.7219131408827841,0.7219131408827841
2025-12-03 16:30:00-08,1.0019922257487224,0.37250782395139465,1162,5,0.7779289578559718,0.7779289578559718
2025-12-03 16:31:00-08,1.2151002101041983,0.44505081915751965,1423,5,0.8507908332306763,0.8507908332306763
2025-12-03 16:32:00-08,0.5140921342121096,0.5973656747298376,1449,4,0.8026910190851667,0.8026910190851667
2025-12-03 16:33:00-08,0.7245012644996782,0.5008733668036536,1550,5,0.7929172997619807,0.7929172997619807
2025-12-03 16:34:00-08,0.8006782107092943,0.5451119370561243,938,5,0.793779623200571,0.793779623200571
2025-12-03 16:35:00-08,0.6300993618396575,0.4543700079499312,1190,5,0.7774115970644797,0.7774115970644797
2025-12-03 16:36:00-08,0.7884162815347291,0.4681456302812298,1021,5,0.7893067493700046,0.7784120229254115
2025-12-03 16:37:00-08,1.2575607670711126,0.5471894695508325,1138,5,0.839857246776557,0.8183410849375532
2025-12-03 16:38:00-08,1.1112123093588928,0.5810772933333334,976,5,0.8625113543046276,0.8408696406622718
2025-12-03 16:39:00-08,0.797600247601428,0.5406685480395771,1056,5,0.8841253012679822,0.8377789697293542
2025-12-03 16:40:00-08,1.218739769103961,0.461173053851443,996,5,0.9058000556035062,0.8631763563543281
2025-12-03 16:41:00-08,0.8221439898243567,0.5011520946342644,1108,5,0.8665044335755219,0.8606118334462048
2025-12-03 16:42:00-08,1.19030014064844,0.5132369630560129,839,4,0.934125234219155,0.8800052632816304
2025-12-03 16:43:00-08,0.6299391627232833,0.61068539,1239,5,0.9246690240415155,0.8661127021395001
2025-12-03 16:44:00-08,0.843538465479116,0.4565173360412923,1135,5,0.9289550495184977,0.8649245844205325
2025-12-03 16:45:00-08,0.7100256264557328,0.3945263400648241,1143,5,0.9369476759801051,0.8571796365222925
2025-12-03 16:46:00-08,0.7630354056815628,0.5476908462532419,2973,5,0.9344095883947885,0.8526965779108292
2025-12-03 16:47:00-08,1.009732387886427,0.5367582102387358,1327,5,0.9096267504763199,0.8598345692733563
2025-12-03 16:48:00-08,0.8857461479681816,0.35845598817137825,872,4,0.887080134337249,0.8609611596513922
2025-12-03 16:49:00-08,0.5004225033163335,0.66043143,1354,5,0.8573623599087394,0.8459387156374314
2025-12-03 16:50:00-08,0.589306000462926,0.5020955923589354,1078,5,0.794418983044636,0.8356734070304512
2025-12-03 16:51:00-08,0.5672555427027148,0.46465831333333335,1021,5,0.7689301383324717,0.825349643017846
2025-12-03 16:52:00-08,0.6976035968345682,0.505711951255494,1208,5,0.7196604839510845,0.8206183079740208
2025-12-03 16:53:00-08,0.6926570743209806,0.6488041182110564,1021,4,0.7259322751108543,0.8160482639149836
2025-12-03 16:54:00-08,0.7757705014892432,0.4395105366666667,1308,5,0.719155478711867,0.8146593755554754
2025-12-03 16:55:00-08,0.6135778499352214,0.391841026484253,1135,5,0.709510701059816,0.8079566580348003
2025-12-03 16:56:00-08,0.6133607208728937,0.5404630663518653,1154,5,0.694543232578949,0.8060865234479141
2025-12-03 16:57:00-08,0.7153220743936635,0.5257736154971758,896,5,0.6651022012296727,0.8048620661608498
2025-12-03 16:58:00-08,1.635440969018396,0.4938504050224668,682,4,0.7400716833346941,0.8298877239921901
2025-12-03 16:59:00-08,0.5672636814688099,0.5729107448783954,1288,5,0.7467558011499417,0.8294144874422211
2025-12-03 17:00:00-08,0.7077847638319956,0.5208502433333333,1297,5,0.7586036774868486,0.8196075720449969
2025-12-03 17:01:00-08,0.6976071063553003,0.4829556458768633,1139,5,0.7716388338521073,0.8023578019200337
2025-12-03 17:02:00-08,0.7918346975352021,0.49666656181164204,1157,5,0.7810619439221707,0.8116158873641368
2025-12-03 17:03:00-08,0.9090645469521258,0.4947228922065506,822,5,0.802702691185285,0.8177679967792184
2025-12-03 17:04:00-08,0.7673149912304691,0.43504923,1042,5,0.8018571401594077,0.8166558894632575
2025-12-03 17:05:00-08,0.6384026218750832,0.7464651565668771,1115,4,0.8043396173533939,0.8169326647977717
2025-12-03 17:06:00-08,1.016639686284749,0.4140188666666667,896,5,0.8446675138945794,0.8245401116227723
2025-12-03 17:07:00-08,0.5762878409682465,0.48267258241213506,1129,5,0.8307640905520378,0.8018310140860102
2025-12-03 17:08:00-08,0.8526771766016852,0.4430610361519417,1909,5,0.7524877113103667,0.7932131763274365
2025-12-03 17:09:00-08,0.7565508337973894,0.6084446966666667,1141,5,0.7714164265432246,0.7918448625339687
2025-12-03 17:10:00-08,8.78229385203198,0.3775411049670923,651,5,1.578867335363223,1.0439633319649027
2025-12-03 17:11:00-08,2.0243444860087623,0.566785473798247,2555,5,1.7115410733285692,1.084036681837716
2025-12-03 17:12:00-08,1.5908008296710978,0.45932725578421174,574,5,1.7914376865421588,1.097386704805138
2025-12-03 17:13:00-08,1.3956598253388393,0.5879486898772974,835,5,1.8400972143808303,1.122910726892323
2025-12-03 17:14:00-08,1.1188592979518568,0.5096356983282883,704,5,1.875251645052969,1.132088087974748
2025-12-03 17:15:00-08,1.1767344899801868,0.6875562114299184,1744,5,1.9290848318634795,1.1476450500922297
2025-12-03 17:16:00-08,0.9099116413900963,0.7122292261009798,1322,4,1.9184120273740137,1.1525409246158476
2025-12-03 17:17:00-08,1.6111863548364773,0.5783428128238801,616,4,2.021901878760837,1.1725893901808493
2025-12-03 17:18:00-08,1.6781972259640614,0.2942044942644114,786,5,2.1044538836970745,1.199004426114045
2025-12-03 17:19:00-08,0.8849762317286114,0.4971321912872497,965,5,2.1172964234901968,1.2118228837277878
2025-12-03 17:20:00-08,0.6824960379117229,0.7643900820083855,1449,5,1.3073166420781712,1.2149292183094142
2025-12-03 17:21:00-08,1.176542408405363,0.4461185741073006,1085,5,1.222536434317831,1.2352387804995026
2025-12-03 17:22:00-08,0.9301458391522093,0.47676818639386875,1319,5,1.1564709352659424,1.2429901885767574
2025-12-03 17:23:00-08,1.8248534592847077,0.42583283199792643,857,5,1.1993902986605292,1.2807300680755482
2025-12-03 17:24:00-08,0.673221003528192,0.42079942485500854,1115,5,1.154826469218163,1.2773117514768464
2025-12-03 17:25:00-08,0.8050548451496043,0.47455009666666664,1083,5,1.1176585047351044,1.2836943179839926
2025-12-03 17:26:00-08,0.7108002281327223,0.5036176325544888,1381,5,1.097747363409367,1.2869423015593204
2025-12-03 17:27:00-08,0.7368857796770633,0.4776099405819821,1278,5,1.0103173058934258,1.2876610917354334
2025-12-03 17:28:00-08,0.6820540552387795,0.4028656786940011,387,2,0.9107029888208975,1.2558815279427795
